,time,prophet_pred,arima_pred,values,precinct_number
117,2023-04-01,33619.86748197629,44253.615664982535,36692.0,19
118,2023-05-01,35024.702418919485,37237.285275672926,39964.0,19
119,2023-06-01,29660.5911098828,35166.891766048124,31925.0,19
120,2023-07-01,30913.75390599633,33060.47079342517,,19
121,2023-08-01,38374.566657433206,34663.910739299725,,19
122,2023-09-01,37393.15086768824,36924.23707466379,,19
123,2023-10-01,41847.72431375424,37951.59196424714,,19
124,2023-11-01,36429.48448111629,37541.285450521376,,19
125,2023-12-01,26525.06659741733,36599.61084938252,,19
126,2024-01-01,36951.07935897038,36023.99385589812,,19
127,2024-02-01,30023.223318579126,36067.86138775307,,19
128,2024-03-01,39016.87455662791,36435.33489401072,,19
129,2024-04-01,32026.848665594844,36726.54649395212,,19
130,2024-05-01,33115.18297333435,36766.74849396748,,19
131,2024-06-01,28162.78303493936,36634.55188617793,,19
108,2022-07-01,13171.270545477768,16028.657887082582,17202.0,20
109,2022-08-01,15651.83193234516,16148.323581403592,16340.0,20
110,2022-09-01,15754.372030329943,15748.51029262564,15091.0,20
111,2022-10-01,16530.10404705809,15169.198462366168,15706.0,20
112,2022-11-01,14694.907630912048,15454.448082549974,15771.0,20
113,2022-12-01,11175.410633348003,15484.59641639054,11297.0,20
114,2023-01-01,14970.854839504798,13409.463407118425,14543.0,20
115,2023-02-01,12326.549084243905,14915.024817064175,15260.0,20
116,2023-03-01,15184.996255909571,15247.584130351635,18580.0,20
117,2023-04-01,13581.583540482055,16787.46825882357,15820.0,20
118,2023-05-01,13519.693097101304,15507.32362190112,17312.0,20
119,2023-06-01,12155.054278526164,16199.34383867224,14715.0,20
120,2023-07-01,12998.283843986052,14994.801946611517,,20
121,2023-08-01,15275.245761293874,15124.579831160498,,20
122,2023-09-01,15401.53945118094,15184.773477137498,,20
123,2023-10-01,16293.525739903367,15212.692525352812,,20
124,2023-11-01,14534.045971604886,15225.641952831367,,20
125,2023-12-01,10881.577992927128,15231.648163026255,,20
126,2024-01-01,14850.769812093977,15234.433966565826,,20
127,2024-02-01,12115.047000970288,15235.726079413906,,20
128,2024-03-01,15613.980309476963,15236.325387867808,,20
129,2024-04-01,13291.068583315951,15236.60335942691,,20
130,2024-05-01,13016.698615452153,15236.732288340172,,20
131,2024-06-01,11724.003775805602,15236.792088215843,,20
108,2022-07-01,20.0457644935868,28.76375738535973,3.0,22
109,2022-08-01,34.02233829913944,26.46881554923021,30.0,22
110,2022-09-01,25.80041871545633,33.25298408464114,48.0,22
111,2022-10-01,20.34457834559107,38.52854916329703,11.0,22
112,2022-11-01,31.934870082840398,27.853488187029228,20.0,22
113,2022-12-01,30.05507456908688,29.56633184066396,28.0,22
114,2023-01-01,35.13844345238658,31.41775722886948,28.0,22
115,2023-02-01,30.99628880704293,31.210151276749126,47.0,22
116,2023-03-01,43.00683033877153,36.792381964217455,23.0,22
117,2023-04-01,18.31252914360644,30.11487812618868,11.0,22
118,2023-05-01,25.928342479548224,26.03392275675264,13.0,22
119,2023-06-01,6.266408753391815,25.728841627320264,6.0,22
120,2023-07-01,16.453654877201316,22.827198281714505,,22
121,2023-08-01,30.363100031559075,26.9216123854637,,22
122,2023-09-01,21.905563496532963,27.917870144617662,,22
123,2023-10-01,16.479116295837187,28.160280779576556,,22
124,2023-11-01,28.214801540076387,28.219264426530604,,22
125,2023-12-01,26.442951482928784,28.23361639837619,,22
126,2024-01-01,31.49376458849301,28.23710853740952,,22
127,2024-02-01,27.14199607993784,28.237958248874907,,22
128,2024-03-01,39.378632341090736,28.23816500168959,,22
129,2024-04-01,14.047459210796422,28.238215309032874,,22
130,2024-05-01,22.50023027563378,28.23822754987609,,22
131,2024-06-01,2.5459432859033946,28.238230528332764,,22
108,2022-07-01,9183.221805416788,8733.56188311903,10880.0,23
109,2022-08-01,10135.666827344774,9986.338181351584,9455.0,23
110,2022-09-01,9900.567790070423,9183.201818772066,8534.0,23
111,2022-10-01,10639.25001473304,8649.08952409209,9066.0,23
112,2022-11-01,9772.085717232309,8959.6706747798,9399.0,23
113,2022-12-01,8607.604080422076,9162.84433298587,8133.0,23
114,2023-01-01,9878.307162321582,8421.900325195935,9533.0,23
115,2023-02-01,8708.131220249457,9239.905486324084,9337.0,23
116,2023-03-01,10366.98564494824,9137.80487495334,11221.0,23
117,2023-04-01,8855.84169146164,10267.510384009434,9588.0,23
118,2023-05-01,9131.382057795658,9343.673248626135,10554.0,23
119,2023-06-01,8084.29550490892,9929.90711327984,8847.0,23
120,2023-07-01,9463.902034965922,8945.889004707173,,23
121,2023-08-01,10345.939344551312,8999.810626102335,,23
122,2023-09-01,10091.000833106376,9029.212694234106,,23
123,2023-10-01,10895.79410037156,9045.24488295651,,23
124,2023-11-01,10037.88984572251,9053.986821587454,,23
125,2023-12-01,8854.193792321776,9058.753575045164,,23
126,2024-01-01,10169.692066689197,9061.352762649409,,23
127,2024-02-01,8972.594741871462,9062.770032550605,,23
128,2024-03-01,10846.355669909412,9063.54283324016,,23
129,2024-04-01,9087.418093844284,9063.96422150592,,23
130,2024-05-01,9367.650691694254,9064.193993648878,,23
131,2024-06-01,8219.868029965046,9064.319282466744,,23
108,2022-07-01,10777.927851395878,11819.666211057534,12090.0,24
109,2022-08-01,12623.826448596545,11538.84218207188,12038.0,24
110,2022-09-01,12813.88362570142,11515.251148942229,11297.0,24
111,2022-10-01,13497.02585257755,11179.0789268447,11892.0,24
112,2022-11-01,12707.24577131493,11449.014786693591,12635.0,24
113,2022-12-01,10277.781440772042,11786.094356219184,8417.0,24
114,2023-01-01,12146.093264671834,9872.498630433258,11767.0,24
115,2023-02-01,10493.903142545778,11392.305572439624,11911.0,24
116,2023-03-01,12724.545257459034,11457.634587260196,14982.0,24
117,2023-04-01,10889.791343776116,12850.866563051704,11373.0,24
118,2023-05-01,11475.800221314888,11213.558129111114,13403.0,24
119,2023-06-01,10445.78764865717,12134.51576859557,11687.0,24
120,2023-07-01,10949.4982453389,11356.011675317084,,24
121,2023-08-01,12703.231168830502,11205.850972757038,,24
122,2023-09-01,12912.050687273648,11137.727009125005,,24
123,2023-10-01,13661.261418085423,11106.820957529497,,24
124,2023-11-01,12895.188661097389,11092.799694316103,,24
125,2023-12-01,10419.596742168404,11086.43861575867,,24
126,2024-01-01,12323.481706395854,11083.55276162427,,24
127,2024-02-01,10671.623216824895,11082.243525460965,,24
128,2024-03-01,13180.779804814529,11081.649559428211,,24
129,2024-04-01,11044.712429200285,11081.380092652123,,24
130,2024-05-01,11456.776947176775,11081.257842659008,,24
131,2024-06-01,10517.021980515508,11081.20238105059,,24
